Timestamp	Latin name of a given species	Sequence name (from NCBI or other sources)	Sequence Accession Number from NCBI	Type of a given sequence	GO - Molecular Function (from Uniprot)	GO - Biological process (from Uniprot)	Special Note	Sequence Accession Number from other source	Choose alternative Source of Sequence Accession Number	Who typed in the data	
1/4/2015 11:53:19	Bombyx mori	ribosomal protein L27A (RpL27A), mRNA	NM_001044057	mRNA	structural constituent of ribosome	translation					Nikola Krivokuca
1/4/2015 11:44:06	Bombyx mori	ribosomal protein L41 (RpL41), mRNA	NM_001042449	mRNA	structural constituent of ribosome	translation					Nikola Krivokuca
3/17/2015 15:16:45	Bombyx mori	ribosomal protein L7	NP_001037135 	protein	NaN	NaN	GO - Cellular component - ribonucleoprotein complex; ribosome				Nikola Krivokuca
3/17/2015 15:20:01	Bombyx mori	ribosomal protein L7A	NP_001037138 	protein	NaN	ribosome biogenesis	GO - Cellular component - ribonucleoprotein complex; ribosome				Nikola Krivokuca
1/4/2015 11:47:47	Bombyx mori	ribosomal protein L8	NP_001037141	protein	structural constituent of ribosome	translation					Nikola Krivokuca
3/17/2015 16:04:55	Bombyx mori	ribosomal protein L9	NP_001037144	protein	rRNA binding; structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:47:00	Bombyx mori	ribosomal protein S15A	NP_001037570 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
1/12/2015 8:03:29	Bombyx mori	ribosomal protein S2	NP_001037564 	protein	RNA binding; structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:48:17	Bombyx mori	ribosomal protein S27	NP_001037277 	protein	structural constituent of ribosome; metal ion binding	translation					Nikola Krivokuca
3/18/2015 10:39:09	Bombyx mori	ribosomal protein S3	NP_001037253 	protein	structural constituent of ribosome; RNA binding	translation					Nikola Krivokuca
3/18/2015 10:50:40	Bombyx mori	ribosomal protein S30	NP_001037281 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:41:02	Bombyx mori	ribosomal protein S5	NP_001037259 	protein	structural constituent of ribosome; RNA binding	translation					Nikola Krivokuca
3/18/2015 10:41:54	Bombyx mori	ribosomal protein S7	NP_001037261	protein	structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:42:53	Bombyx mori	ribosomal protein S8	NP_001037263 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:44:06	Bombyx mori	ribosomal protein S9	NP_001037265 	protein	structural constituent of ribosome; rRNA binding	translation					Nikola Krivokuca
3/15/2015 10:36:52	Bombyx mori	RNA helicase-like protein	AB252573	mRNA	ATP binding; helicase activity; nucleic acid binding	cell differentiation; gene silencing by RNA; meiotic cell cycle; multicellular organismal development; spermatogenesis					Nikola Krivokuca
3/23/2015 8:21:00	Bombyx mori	roadblock domain-containing protein 3	NP_001040324	protein	NaN	NaN					Nikola Krivokuca
3/21/2015 11:42:32	Bombyx mori	S-adenosyl-L-homocysteine hydrolase	NP_001093271	protein	adenosylhomocysteinase activity	one-carbon metabolic process					Nikola Krivokuca
3/21/2015 11:43:41	Bombyx mori	salivary secreted ribonuclease	NP_001040347	protein	endoribonuclease activity	rRNA transcription; RNA phosphodiester bond hydrolysis, endonucleolytic					Nikola Krivokuca
1/24/2015 23:21:12	Bombyx mori	Samui	BAB39763	protein	Hsp70 protein binding	multicellular organismal development					Nikola Krivokuca
1/2/2015 22:59:49	Bombyx mori	Samui mRNA	AB032717	mRNA	Hsp70 protein binding	multicellular organismal development					Nikola Krivokuca
3/23/2015 20:34:32	Bombyx mori	SCP-related protein precursor	NP_001037636 	protein	NaN	NaN	GO - Cellular component - extracellular region				Nikola Krivokuca
3/23/2015 20:36:12	Bombyx mori	small GTP binding protein RAB5	NP_001037614 	protein	GTP binding	protein transport; small GTPase mediated signal transduction					Nikola Krivokuca
3/22/2015 10:43:29	Bombyx mori	small GTP-binding protein	NP_001037010	protein	GTP binding	protein transport; small GTPase mediated signal transduction					Nikola Krivokuca
3/23/2015 20:38:16	Bombyx mori	small GTP-binding protein Rab10	NP_001091822	protein	GTP binding	protein transport; small GTPase mediated signal transduction					Nikola Krivokuca
1/26/2015 0:36:49	Bombyx mori	sorbitol dehydrogenase	DQ443393	mRNA	oxidoreductase activity; zinc ion binding	oxidation-reduction process					Nikola Krivokuca
1/25/2015 0:21:30	Bombyx mori	sorbitol dehydrogenase-2b	AB604175	mRNA	L-iditol 2-dehydrogenase activity; zinc ion binding	oxidation-reduction process					Nikola Krivokuca
1/12/2015 8:06:06	Bombyx mori	splicing factor arginine/serine-rich 6	NP_001037676	protein	nucleic acid binding; nucleotide binding	NaN					Nikola Krivokuca
3/23/2015 20:39:49	Bombyx mori	sterol carrier protein x	NP_001037378 	protein	transferase activity, transferring acyl groups other than amino-acyl groups	metabolic process					Nikola Krivokuca
3/21/2015 11:45:58	Bombyx mori	thiol peroxiredoxin	NP_001037083	protein	peroxiredoxin activity	oxidation-reduction process					Nikola Krivokuca
3/21/2015 20:10:29	Bombyx mori	thioredoxin peroxidase	NP_001040464	protein	peroxidase activity; peroxiredoxin activity	oxidation-reduction process					Nikola Krivokuca
3/23/2015 20:41:54	Bombyx mori	thymosin isoform 1	NP_001040486	protein	actin monomer binding	actin filament organization					Nikola Krivokuca
1/7/2015 23:20:45	Bombyx mori	time interval measuring enzyme-esterase A4 (Time) mRNA	NM_001043893	mRNA	metal ion binding; superoxide dismutase activity	superoxide metabolic process; oxidation-reduction process					Nikola Krivokuca
1/12/2015 8:08:35	Bombyx mori	titin1	NP_001108405	protein	NaN	NaN					Nikola Krivokuca
1/12/2015 8:09:37	Bombyx mori	titin2 	NP_001091843	protein	NaN	NaN					Nikola Krivokuca
1/7/2015 21:58:30	Bombyx mori	transcription factor Ets (Ets) mRNA	NM_001043437	mRNA	sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity	NaN					Nikola Krivokuca
3/23/2015 20:43:41	Bombyx mori	transferrin precursor	NP_001037014	protein	ferric iron binding	cellular iron ion homeostasis; iron ion transport					Nikola Krivokuca
3/21/2015 20:13:00	Bombyx mori	transitional endoplasmic reticulum ATPase TER94	NP_001037003	protein	ATP binding; hydrolase activity	metabolic process					Nikola Krivokuca
3/21/2015 20:11:36	Bombyx mori	transketolase	NP_001040158	protein	catalytic activity	metabolic process					Nikola Krivokuca
3/23/2015 20:45:03	Bombyx mori	translationally-controlled tumor protein homolog	NP_001037572 	protein	NaN	NaN	GO - Cellular component - cytoplasm				Nikola Krivokuca
1/8/2015 23:30:15	Bombyx mori	trehalose transporter BmTRET1 (Tret1) mRNA	NM_001114872	mRNA	trehalose transmembrane transporter activity	trehalose transport					Nikola Krivokuca
3/21/2015 20:14:38	Bombyx mori	triosephosphate isomerase	NP_001119730	protein	triose-phosphate isomerase activity	gluconeogenesis; glycolytic process; pentose-phosphate shunt					Nikola Krivokuca
1/12/2015 8:13:28	Bombyx mori	tropomyosin-2 isoform 3	NP_001103783	protein	NaN	NaN					Nikola Krivokuca
3/23/2015 8:27:03	Bombyx mori	ubiquitin/ribosomal protein L40 fusion protein	NP_001037372 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
1/10/2015 9:26:03	Bombyx mori	uncharacterized protein LOC778506 precursor	NP_001091801	protein	NaN	NaN					Nikola Krivokuca
3/21/2015 20:15:56	Bombyx mori	vacuolar ATP synthase catalytic subunit A	NP_001091829	protein	ATP binding; proton-transporting ATPase activity, rotational mechanism	ATP hydrolysis coupled proton transport; ATP metabolic process					Nikola Krivokuca
3/21/2015 20:18:33	Bombyx mori	vacuolar ATP synthase subunit B	NP_001091828	protein	ATP binding; hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	ATP hydrolysis coupled proton transport; ATP metabolic process					Nikola Krivokuca
3/21/2015 20:17:06	Bombyx mori	vacuolar ATP synthase subunit H	NP_001040488	protein	proton-transporting ATPase activity, rotational mechanism	ATP hydrolysis coupled proton transport					Nikola Krivokuca
3/23/2015 20:46:13	Bombyx mori	vesicle amine transport protein	NP_001093281	protein	oxidoreductase activity; zinc ion binding	oxidation-reduction process					Nikola Krivokuca
3/17/2015 14:55:22	Bombyx mori	vitellogenin precursor	NP_001037309 	protein	lipid transporter activity; nutrient reservoir activity	NaN					Nikola Krivokuca
1/12/2015 8:19:41	Bombyx mori	yellow-f2 precursor	NP_001037432	protein	NaN	NaN					Nikola Krivokuca
3/29/2015 19:18:44	Chilo suppressalis	CsSP1 mRNA for methionine-rich storage protein	AB248057	mRNA	NaN	NaN					
3/29/2015 19:45:26	Chilo suppressalis	hsc70 mRNA for heat shock cognate protein 70	AB206478	mRNA	ATP binding	Stress response					
3/29/2015 19:31:24	Chilo suppressalis	hsp19.7 mRNA for small heat shock protein 19.7	AB244517	mRNA	NaN	Stress response					
3/29/2015 19:43:39	Chilo suppressalis	hsp90 mRNA for heat shock protein 90	AB206477	mRNA	ATP binding	protein folding; response to stress					
5/4/2015 18:40:54	Choristoneura fumiferana	diapause associated protein 1	AAC35428	protein	NaN	NaN					
5/4/2015 18:39:56	Choristoneura fumiferana	diapause associated protein 1 (DAP1) mRNA	AF007767	mRNA	NaN	NaN					
5/4/2015 18:43:14	Choristoneura fumiferana	diapause associated protein 2	AAC35429	protein	NaN	NaN					
5/4/2015 18:42:35	Choristoneura fumiferana	diapause associated protein 2 (DAP2) mRNA	AF007768	mRNA	NaN	NaN					
6/11/2015 11:18:11	Culex pipiens	40S ribosomal protein S13, mRNA		mRNA	structural constituent of ribosome	translation	Primers designed from Culex quinquefasciatus, XM_001865100				
6/11/2015 11:00:33	Culex pipiens	40S ribosomal protein S2, mRNA		mRNA	structural constituent of ribosome	translation	Primers designed from Culex quinquefasciatus, XM_001864733				
1/10/2015 12:15:46	Culex pipiens	catalase mRNA	HQ239409	mRNA	catalase activity; heme binding	response to oxidative stress					
1/10/2015 12:50:56	Culex pipiens	chymotrypsin-like mRNA	AY958427	mRNA	serine-type endopeptidase activity	proteolysis					
4/24/2015 17:50:25	Culex pipiens	couch potato (cpo) mRNA	HQ603004	mRNA	nucleic acid binding; nucleotide binding	NaN					
1/10/2015 16:14:54	Culex pipiens	cytochrome c oxidase subunit I mRNA	DQ360492	mRNA	cytochrome-c oxidase activity; heme binding; iron ion binding	aerobic respiration; oxidative phosphorylation					
1/10/2015 16:13:56	Culex pipiens	cytochrome c oxidase subunit III mRNA	DQ360493	mRNA	cytochrome-c oxidase activity	aerobic electron transport chain					
1/10/2015 12:53:00	Culex pipiens	fatty acid synthase mRNA	AY958428	mRNA	NaN	NaN					
4/26/2015 16:45:55	Culex pipiens	FOXO	AEI86721	protein	sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity	transcription, DNA-templated					
4/26/2015 16:41:19	Culex pipiens	FOXO mRNA	JF979382	mRNA	sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity	transcription, DNA-templated					
1/10/2015 12:17:16	Culex pipiens	glutathione peroxidase mRNA	HQ239413	mRNA	glutathione peroxidase activity	response to oxidative stress					
6/11/2015 11:13:24	Culex pipiens	heat shock protein, mRNA		mRNA	ATP binding; unfolded protein binding	protein folding; response to stress	Primers designed from Culex quinquefasciatus, XM_001861228				
4/22/2015 17:20:45	Culex pipiens	prothoracicotropic hormone preproprotein mRNA	HM246665	mRNA	NaN	NaN					
1/10/2015 12:00:27	Culex pipiens	superoxide dismutase-1 mRNA	HQ239410	mRNA	metal ion binding; superoxide dismutase activity	oxidation-reduction process					
1/10/2015 12:10:21	Culex pipiens	superoxide dismutase-2 mRNA	HQ239411	mRNA	metal ion binding; superoxide dismutase activity	oxidation-reduction process					
1/10/2015 12:11:50	Culex pipiens	superoxide dismutase-3 mRNA	HQ239412	mRNA	metal ion binding; superoxide dismutase activity	oxidation-reduction process					
1/10/2015 12:46:18	Culex pipiens	trypsin mRNA	AY958426	mRNA	serine-type endopeptidase activity	proteolysis					
4/24/2015 16:24:29	Culex pipiens pipiens	3-hydroxyacyl-CoA dehyrogenase (HCDH-1) mRNA	GQ232421	mRNA	3-hydroxyacyl-CoA dehydrogenase activity; coenzyme binding	fatty acid metabolic process					
4/24/2015 16:27:35	Culex pipiens pipiens	3-hydroxyacyl-CoA dehyrogenase (HCDH-2) mRNA	GQ232422	mRNA	3-hydroxyacyl-CoA dehydrogenase activity; coenzyme binding	fatty acid metabolic process					
4/24/2015 16:29:31	Culex pipiens pipiens	3-hydroxyacyl-CoA dehyrogenase (HCDH-3) mRNA	GQ232423	mRNA	3-hydroxyacyl-CoA dehydrogenase activity; coenzyme binding	fatty acid metabolic process					
4/24/2015 16:31:47	Culex pipiens pipiens	3-hydroxyisobutyryl-CoA hydrolase-like (HCDH-4) mRNA	GQ232424	mRNA	NaN	NaN					
4/22/2015 19:39:17	Culex pipiens pipiens	3,2-trans-enoyl-CoA isomerase (ECH-2) mRNA	GQ232426	mRNA	isomerase activity	metabolic process					
4/22/2015 19:01:08	Culex pipiens pipiens	acetyl-CoA carboxylase (ACC) mRNA	GQ232408	mRNA	acetyl-CoA carboxylase activity; ATP binding	fatty acid biosynthetic process					
4/22/2015 19:09:24	Culex pipiens pipiens	acetyl-CoA synthetase (ACS) mRNA	GQ232412	mRNA	catalytic activity	metabolic process					
4/22/2015 19:29:40	Culex pipiens pipiens	acyl-CoA dehydrogenase (ACD-1) mRNA	GQ232416	mRNA	acyl-CoA dehydrogenase activity	metabolic process; oxidation-reduction process					
4/22/2015 19:31:17	Culex pipiens pipiens	acyl-CoA dehydrogenase (ACD-2) mRNA	GQ232417	mRNA	oxidoreductase activity, acting on the CH-CH group of donors	oxidation-reduction process					
4/22/2015 19:34:24	Culex pipiens pipiens	acyl-CoA dehydrogenase (ACD-4) mRNA	GQ232419	mRNA	oxidoreductase activity, acting on the CH-CH group of donors	metabolic process; oxidation-reduction process					
4/24/2015 17:15:11	Culex pipiens pipiens	acyl-CoA delta (11)-desaturase-like (FAD-3) mRNA	GQ232435	mRNA	NaN	NaN					
1/10/2015 20:02:38	Culex pipiens pipiens	beta-actin mRNA	DQ385449	mRNA	ATP binding	NaN	Postoji u 2 različita rada još jedna sekvenca pod imenom actin odnosno actin 2, DQ322244, uneta pod brojem 87.				
4/24/2015 16:35:27	Culex pipiens pipiens	beta-ketoacyl-CoA thiolase (BK-1) mRNA	GQ232429	mRNA	transferase activity, transferring acyl groups other than amino-acyl groups	metabolic process					
4/24/2015 16:48:50	Culex pipiens pipiens	beta-ketoacyl-CoA thiolase (BK-2) mRNA	GQ232430	mRNA	transferase activity, transferring acyl groups other than amino-acyl groups	metabolic process					
4/22/2015 19:15:53	Culex pipiens pipiens	carnitine O-acetyltransferase (CPT-3) mRNA	GQ232415	mRNA	transferase activity, transferring acyl groups	metabolic process					
4/22/2015 19:11:33	Culex pipiens pipiens	carnitine O-octanoyltransferase (CPT-1) mRNA	GQ232413	mRNA	transferase activity, transferring acyl groups	metabolic process					
4/22/2015 19:13:59	Culex pipiens pipiens	carnitine O-palmitoyltransferase (CPT-2) mRNA	GQ232414	mRNA	transferase activity, transferring acyl groups	metabolic process					
1/10/2015 18:21:14	Culex pipiens pipiens	clone CpiED-A01 putative diapause upregulated unknown mRNA	DQ401449	mRNA	NaN	NaN					
1/10/2015 16:04:28	Culex pipiens pipiens	clone CpiED-A07 putative mitochondrial malate dehydrogenase mRNA	DQ401440	mRNA	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	carbohydrate metabolic process					
1/10/2015 19:20:36	Culex pipiens pipiens	clone CpiED-A18 putative poly A binding protein mRNA	DQ401462	mRNA	RNA binding	NaN					
1/10/2015 15:48:39	Culex pipiens pipiens	clone CpiED-A24 selenoprotein mRNA	DQ401437	mRNA	NaN	NaN					
1/10/2015 19:24:39	Culex pipiens pipiens	clone CpiED-A29 ribosomal protein L40 mRNA	DQ401463	mRNA	structural constituent of ribosome	translation					
1/10/2015 17:18:40	Culex pipiens pipiens	clone CpiED-A32 ribosomal protein L18 mRNA	DQ401442	mRNA	structural constituent of ribosome	translation					
1/10/2015 13:40:13	Culex pipiens pipiens	clone CpiED-B03 putative transcription elongation factor B polypeptide 3 binding protein 1 mRNA	DQ401433	mRNA	translation elongation factor activity	translational elongation					
1/10/2015 12:33:49	Culex pipiens pipiens	clone CpiED-B06 beta tubulin mRNA	DQ401465	mRNA	GTPase activity; GTP binding; structural constituent of cytoskeleton	microtubule-based process; protein polymerization					
1/10/2015 18:28:00	Culex pipiens pipiens	clone CpiED-C09 putative diapause upregulated unknown mRNA	DQ401452	mRNA	NaN	NaN	Similarity: 46% Anopheles gambiae, EAL40389				
1/10/2015 18:30:06	Culex pipiens pipiens	clone CpiED-D03 putative diapause upregulated unknown mRNA	DQ401453	mRNA	NaN	NaN	Similarity: 66% Anopheles gambiae, EAA10746				
1/10/2015 17:20:48	Culex pipiens pipiens	clone CpiED-E08 ribosomal protein 27A mRNA	DQ401443	mRNA	NaN	NaN					
1/10/2015 13:49:39	Culex pipiens pipiens	clone CpiED-M01 putative methoprene-tolerant protein mRNA	DQ401435	mRNA	NaN	NaN					
1/10/2015 17:29:33	Culex pipiens pipiens	clone CpiLD-A01 large subunit ribosomal RNA, mitochondrial	DQ401444	rRNA	NaN	NaN					
1/10/2015 15:54:03	Culex pipiens pipiens	clone CpiLD-A06 aldehyde oxidase-like mRNA sequence	DQ401438	mRNA	NaN	NaN					
1/10/2015 19:34:28	Culex pipiens pipiens	clone CpiLD-A10 cecropin mRNA	DQ401464	mRNA	NaN	defense response to bacterium					
1/10/2015 15:59:00	Culex pipiens pipiens	clone CpiLD-A11 small heat shock protein mRNA	DQ401439	mRNA	NaN	Stress response					
1/10/2015 13:34:55	Culex pipiens pipiens	clone CpiLD-A38 ribosomal protein S3A mRNA	DQ401432	mRNA	structural constituent of ribosome	translation					
1/10/2015 18:24:08	Culex pipiens pipiens	clone CpiLD-B02 late diapause upregulated unknown mRNA	DQ401450	mRNA	NaN	NaN	Similarity: 42% Plasmodium yoelii yoelii, XP_727512				
1/10/2015 18:25:39	Culex pipiens pipiens	clone CpiLD-B11 late diapause upregulated unknown mRNA	DQ401451	mRNA	NaN	NaN					
1/10/2015 13:53:16	Culex pipiens pipiens	clone CpiLD-C04 ribosomal protein S24 mRNA	DQ401436	mRNA	NaN	NaN	GO - Cellular component - ribonucleoprotein complex; ribosome				
1/10/2015 18:08:08	Culex pipiens pipiens	clone CpiLD-D02 putative reverse transcriptase mRNA	DQ401447	mRNA	RNA-directed DNA polymerase activity	RNA-dependent DNA replication					
1/10/2015 18:31:42	Culex pipiens pipiens	clone CpiLD-D06 late diapause upregulated unknown mRNA	DQ401454	mRNA	NaN	NaN					
1/10/2015 18:10:41	Culex pipiens pipiens	clone CpiLD-D11 miniature inverted-repeat transposable element-like sequence	DQ401448	mRNA	NaN	NaN					
1/10/2015 16:07:53	Culex pipiens pipiens	clone CpiLD-E09 putative methylmalonate-semialdehyde dehydrogenase mRNA	DQ401441	mRNA	methylmalonate-semialdehyde dehydrogenase (acylating) activity	oxidation-reduction process; metabolic process					
1/10/2015 18:32:34	Culex pipiens pipiens	clone CpiLD-F01 late diapause upregulated unknown mRNA	DQ401455	mRNA	NaN	NaN					
1/10/2015 18:35:43	Culex pipiens pipiens	clone CpiLD-F03 late diapause upregulated unknown mRNA	DQ401456	mRNA	NaN	NaN	Similarity: 65% Anopheles gambiae, XP_317882				
1/10/2015 19:03:31	Culex pipiens pipiens	clone CpiLD-F07 late diapause upregulated unknown mRNA	DQ401457	mRNA	NaN	NaN					
1/10/2015 19:05:36	Culex pipiens pipiens	clone CpiLD-G10 putative diapause upregulated unknown mRNA	DQ401458	mRNA	NaN	NaN	Similarity: 94% Aedes aegypti, AY432235				
1/10/2015 19:06:45	Culex pipiens pipiens	clone CpiLD-H03 late diapause upregulated unknown mRNA	DQ401459	mRNA	NaN	NaN					
1/10/2015 19:09:19	Culex pipiens pipiens	clone CpiLD-H05 putative diapause upregulated unknown mRNA	DQ401460	mRNA	NaN	NaN					
1/10/2015 18:00:07	Culex pipiens pipiens	clone CpiLD-H09 28S large subunit ribosomal RNA	DQ401446	rRNA	NaN	NaN					
1/10/2015 13:45:13	Culex pipiens pipiens	clone CpiLD-L01 putative ribosomal protein S6 mRNA	DQ401434	mRNA	NaN	NaN	GO - Cellular component - ribonucleoprotein complex; ribosome				
1/10/2015 19:10:04	Culex pipiens pipiens	clone CpiLD-M43 putative diapause upregulated unknown mRNA sequence	DQ401461	mRNA	NaN	NaN					
4/22/2015 19:32:47	Culex pipiens pipiens	crotonobetainyl-CoA dehydrogenase-like (ACD-3) mRNA	GQ232418	mRNA	NaN	NaN					
4/22/2015 19:40:58	Culex pipiens pipiens	cyclohex-1-ene-1-carboxyl-CoA hydratase (ECH-3) mRNA	GQ232427	mRNA	catalytic activity	metabolic process					
4/24/2015 17:12:12	Culex pipiens pipiens	delta (9)-desaturase (FAD-1) mRNA	GQ232433	mRNA	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	fatty acid biosynthetic process					
4/24/2015 17:13:44	Culex pipiens pipiens	delta (9)-desaturase (FAD-2) mRNA	GQ232434	mRNA	NaN	NaN					
4/22/2015 19:37:24	Culex pipiens pipiens	enoyl-CoA hydratase (ECH-1) mRNA	GQ232425	mRNA	catalytic activity	metabolic process					
4/22/2015 19:42:27	Culex pipiens pipiens	enoyl-CoA hydratase (ECH-4) mRNA	GQ232428	mRNA	catalytic activity	metabolic process					
4/24/2015 17:07:30	Culex pipiens pipiens	fatty acid binding protein (FABP) mRNA	GQ232431	mRNA	NaN	NaN					
4/22/2015 19:03:37	Culex pipiens pipiens	fatty acid synthase S-acetyltransferase (FAS-1) mRNA	GQ232409	mRNA	transferase activity	metabolic process					
4/22/2015 19:05:42	Culex pipiens pipiens	fatty acid synthase S-acetyltransferase (FAS-2) mRNA	GQ232410	mRNA	transferase activity	metabolic process					
4/22/2015 19:07:26	Culex pipiens pipiens	fatty acid synthase S-acetyltransferase (FAS-3) mRNA	GQ232411	mRNA	transferase activity	metabolic process					
4/26/2015 16:27:40	Culex pipiens pipiens	forkhead transcription factor mRNA	EU442283	mRNA	NaN	NaN					
4/24/2015 17:09:47	Culex pipiens pipiens	hormone-sensitive lipase mRNA	GQ232432	mRNA	lipase activity	cholesterol metabolic process; lipid catabolic process					
4/26/2015 16:29:55	Culex pipiens pipiens	insulin receptor mRNA	EU442282	mRNA	ATP binding; protein kinase activity	protein phosphorylation					
1/10/2015 11:33:33	Culex pipiens pipiens	insulin-like peptide 1 mRNA	FJ266014	mRNA	hormone activity	NaN	GO - Cellular component - extracellular region				
1/10/2015 11:36:58	Culex pipiens pipiens	insulin-like peptide 2 mRNA	FJ266015	mRNA	hormone activity	NaN	GO - Cellular component - extracellular region				
1/10/2015 11:38:37	Culex pipiens pipiens	insulin-like peptide 5 mRNA	FJ266016	mRNA	hormone activity	NaN	GO - Cellular component - extracellular region				
4/22/2015 19:36:00	Culex pipiens pipiens	isovaleryl-CoA dehydrogenase (ACD-5) mRNA	GQ232420	mRNA	acyl-CoA dehydrogenase activity	metabolic process; oxidation-reduction process					
4/24/2015 17:17:42	Culex pipiens pipiens	nuclear hormone receptor 41 (NHR-41) mRNA	GQ232436	mRNA	sequence-specific DNA binding transcription factor activity; steroid hormone receptor activity	transcription, DNA-templated					
4/24/2015 17:24:34	Culex pipiens pipiens	nuclear hormone receptor 48-like (NHR-48) mRNA	GQ232437	mRNA	NaN	NaN					
4/24/2015 17:30:51	Culex pipiens pipiens	retinoid X receptor alpha (NHR-49) mRNA	GQ232438	mRNA	DNA binding; sequence-specific DNA binding transcription factor activity; steroid hormone receptor activity	transcription, DNA-templated					
4/24/2015 17:37:03	Culex pipiens pipiens	ribosomal protein L19 mRNA	FJ266017	mRNA	structural constituent of ribosome	translation					
1/10/2015 16:01:11	Culex pipiens pipiens	strain Buckeye actin mRNA	DQ322244	mRNA	NaN	NaN					
5/4/2015 19:04:14	Delia antiqua	14-3-3 Zeta		mRNA	NaN	NaN	Primers designed from clone ID: 770-KU3-27, similar to ADD18606/Glossina morsitans morsitans (100%)				
5/16/2015 15:33:37	Delia antiqua	20S proteasome regulatory subunit		mRNA	NaN	NaN	Primers designed from clone ID: 823-KU3-80, similar to ADD19848/Glossina morsitans morsitans (96%)				
5/16/2015 15:57:26	Delia antiqua	Actin 1		mRNA	NaN	NaN	Primers designed from clone ID: 766-KU3-23, similar to AAL50652/Culicoides sonorensis (99%)				
4/29/2015 19:28:19	Delia antiqua	Actin binding protein		mRNA	NaN	NaN	Primers designed from clone ID: 860-KU6-10, similar to ADV15452/Drosophila melanogaster (100%)				
5/16/2015 15:59:06	Delia antiqua	Activity-regulated cytoskeleton associated protein		mRNA	NaN	NaN	Primers designed from clone ID: 768-KU3-25, similar to ACN69123/Stomoxys calcitrans (90%)				
4/29/2015 18:37:12	Delia antiqua	Adenosine monophosphate deaminase		mRNA	NaN	NaN	Primers designed from clone ID: 895-KU6-45, similar to ADD18530/Glossina morsitans morsitans (96%)				
4/29/2015 18:45:36	Delia antiqua	ADP ribosylation factor		mRNA	NaN	NaN	Primers designed from clone ID: 858-KU6-3, similar to NP_524631/Drosophila melanogaster (98%)				
4/29/2015 18:39:43	Delia antiqua	Alcohol dehydrogenase		mRNA	NaN	NaN	Primers designed from clone ID: KU6-contig6, similar to CAA26412/Sarcophaga peregrina (86%)				
5/16/2015 15:14:12	Delia antiqua	Aldehyde dehydrogenase		mRNA	NaN	NaN	Primers designed from clone ID: 762-KU3-19, similar to EDW08154/Drosophila mojavensis (80%)				
5/16/2015 15:18:35	Delia antiqua	Alkaline phosphatase		mRNA	NaN	NaN	Primers designed from clone ID: 752-KU3-9, similar to EDW16283/Drosophila mojavensis (75%)				
5/4/2015 19:05:19	Delia antiqua	Alpha-crystallin domain		mRNA	NaN	NaN	Primers designed from clone ID: 830-KU3-35, similar to EDW02215/Drosophila grimshawi (46%)				
5/4/2015 19:02:13	Delia antiqua	Alpha-crystallin Hsp23 like		mRNA	NaN	NaN	Primers designed from clone ID: 813-KU3-18, similar to ADD19092/Glossina morsitans morsitans (58%)				
4/29/2015 19:07:35	Delia antiqua	AN1-type zinc finger protein 5		mRNA	NaN	NaN	Primers designed from clone ID: 929-KU6-79, similar to EDV42028/Drosophila ananassae (94%)				
5/16/2015 15:42:13	Delia antiqua	Arylphorin		mRNA	NaN	NaN	Primers designed from clone ID: KU3-contig2, similar to AAB58985/Calliphora vicina (81%)				
5/16/2015 15:43:16	Delia antiqua	Arylphorin		mRNA	NaN	NaN	Primers designed from clone ID: KU3-contig4, similar to AAB58984/Calliphora vicina (72%)				
4/29/2015 19:16:52	Delia antiqua	Arylphorin receptor		mRNA	NaN	NaN	Primers designed from clone ID: KU6-contig5, similar to BAA06161/Sarcophaga peregrina				
5/16/2015 15:44:07	Delia antiqua	Arylphorin receptor		mRNA	NaN	NaN	Primers designed from clone ID: 782-KU3-39, similar to CAA55707/Calliphora vicina (51%)				
5/16/2015 15:48:22	Delia antiqua	Arylphorin subunit A4		mRNA	NaN	NaN	Primers designed from clone ID: 850-KU3-55, similar to CAA42034/Calliphora vicina (87%)				
5/16/2015 16:02:35	Delia antiqua	Aspartyl-tRNA synthetase		mRNA	NaN	NaN	Primers designed from clone ID: 828-KU3-85, similar to EDV99300/Drosophila grimshawi (72%)				
4/29/2015 19:01:32	Delia antiqua	Autophagy-specific 7		mRNA	NaN	NaN	Primers designed from clone ID: 905-KU6-55, similar to ADD19450/Glossina morsitans morsitans (69%)				
5/4/2015 19:18:41	Delia antiqua	C-type lectin		mRNA	NaN	NaN	Primers designed from clone ID: KU3-contig7, similar to ADI87388/Lucilia sericata (37%)				
